m,n,Group,Mean,Range,UCL,LCL,Status
24,519,1,0.10042144374890619,0.019871043841650962,0.10331239654525982,0.096657652,Accept
24,519,2,0.10045499113006198,0.019963655966876534,0.10331239654525982,0.096657652,Accept
24,519,3,0.099899721,0.019928335,0.10331239654525982,0.096657652,Accept
24,519,4,0.099628727,0.019963316101551845,0.10331239654525982,0.096657652,Accept
24,519,5,0.10001839753980535,0.019810793,0.10331239654525982,0.096657652,Accept
24,519,6,0.099542583,0.019919087,0.10331239654525982,0.096657652,Accept
24,519,7,0.099672297,0.019923631714764342,0.10331239654525982,0.096657652,Accept
24,519,8,0.10000106998009232,0.019875887942970155,0.10331239654525982,0.096657652,Accept
24,519,9,0.10012177962483443,0.019895654,0.10331239654525982,0.096657652,Accept
24,519,10,0.10010423979685913,0.019982393,0.10331239654525982,0.096657652,Accept
24,519,11,0.099985604,0.019931514,0.10331239654525982,0.096657652,Accept
24,519,12,0.099774954,0.019897279,0.10331239654525982,0.096657652,Accept
24,519,13,0.099923028,0.019964842162190327,0.10331239654525982,0.096657652,Accept
24,519,14,0.10009239959848656,0.019955232187366723,0.10331239654525982,0.096657652,Accept
24,519,15,0.099999684,0.019951895797192004,0.10331239654525982,0.096657652,Accept
24,519,16,0.10000842056375556,0.019982099877135784,0.10331239654525982,0.096657652,Accept
24,519,17,0.1002461969735739,0.019961804,0.10331239654525982,0.096657652,Accept
24,519,18,0.10050312251812615,0.019923823837651677,0.10331239654525982,0.096657652,Accept
24,519,19,0.09994397,0.019991159,0.10331239654525982,0.096657652,Accept
24,519,20,0.099270271,0.019963722794787156,0.10331239654525982,0.096657652,Accept
24,519,21,0.10026596900676388,0.019891879238377874,0.10331239654525982,0.096657652,Accept
24,519,22,0.10012648835421493,0.019917946461367603,0.10331239654525982,0.096657652,Accept
24,519,23,0.099714725,0.019902867527470433,0.10331239654525982,0.096657652,Accept
24,519,24,0.099920494,0.019815405454336063,0.10331239654525982,0.096657652,Accept
48,816,1,0.10003089093838238,0.019963072093222387,0.10404794189877152,0.095948065,Accept
48,816,2,0.099981973,0.019963937800933265,0.10404794189877152,0.095948065,Accept
48,816,3,0.10028133678177488,0.019913991622336258,0.10404794189877152,0.095948065,Accept
48,816,4,0.099812017,0.019961269,0.10404794189877152,0.095948065,Accept
48,816,5,0.099924499,0.019969234360587854,0.10404794189877152,0.095948065,Accept
48,816,6,0.10008842266601492,0.019988822411444396,0.10404794189877152,0.095948065,Accept
48,816,7,0.099893591,0.019941328,0.10404794189877152,0.095948065,Accept
48,816,8,0.099844079,0.019885365270027544,0.10404794189877152,0.095948065,Accept
48,816,9,0.10002249492193319,0.019965628878243782,0.10404794189877152,0.095948065,Accept
48,816,10,0.10030574689327598,0.019953027,0.10404794189877152,0.095948065,Accept
48,816,11,0.099951731,0.019965078459190932,0.10404794189877152,0.095948065,Accept
48,816,12,0.1001507408886189,0.019846270135925978,0.10404794189877152,0.095948065,Accept
48,816,13,0.09998974,0.019909983462191083,0.10404794189877152,0.095948065,Accept
48,816,14,0.10023104895303038,0.019917858745261266,0.10404794189877152,0.095948065,Accept
48,816,15,0.10029962340051087,0.019940429,0.10404794189877152,0.095948065,Accept
48,816,16,0.099814305,0.019953478,0.10404794189877152,0.095948065,Accept
48,816,17,0.10006967176502991,0.019984444,0.10404794189877152,0.095948065,Accept
48,816,18,0.099999563,0.019976787,0.10404794189877152,0.095948065,Accept
48,816,19,0.099763934,0.019938002186675408,0.10404794189877152,0.095948065,Accept
48,816,20,0.099778868,0.019961669042071084,0.10404794189877152,0.095948065,Accept
48,816,21,0.099910339,0.019924409135324853,0.10404794189877152,0.095948065,Accept
48,816,22,0.10019227030572274,0.019948104,0.10404794189877152,0.095948065,Accept
48,816,23,0.099782407,0.019983798,0.10404794189877152,0.095948065,Accept
48,816,24,0.10036931494974365,0.019846350465976687,0.10404794189877152,0.095948065,Accept
48,816,25,0.10028380274316066,0.019952665403179415,0.10404794189877152,0.095948065,Accept
